station,2016,2017,2018,2019,2020,2021,2022
"RIVER GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",,,,,,8.05,
"RIVER GANGA AT KANPUR D/S (JANA VILLAGE), U.P",,,,,,,8.15
"RIVER GANGA AT KANPUR U/S (RANIGHAT), U.P",,,,,,8.25,
"RIVER GANGA AT KANPUR U/S (SHUKLAGANJ U/S), U.P",,,,,,,8.145
"RIVER GANGA AT KEWALA GHAT,FATUHA, PATNA",,,,,,7.800000000000001,7.78
"RIVER GANGA AT KURJI, PATNA U/S",,,,,,7.75,
"RIVER GANGA AT MAA AMBIKA ASTHAN, AAMI, SARAN",,,,,,7.35,7.7
"RIVER GANGA AT MADHYA GANGA BARRAGE, BIJNOR",,,,7.550000000000001,7.75,7.95,7.824999999999999
"RIVER GANGA AT MALSALAMI, PATNA",,,,,,7.899999999999999,
"RIVER GANGA AT MALSALAMI, PATNA CITY, PATNA",,,,,,,7.82
RIVER GANGA AT MANJHIGHAT DIST. CHHAPRA(BIHAR),,,,,,,7.775
RIVER GANGA AT MANJHIGHAT(BIHAR),,,,,,7.7,
RIVER GANGA AT MOKAMA (D/S),,,,,,8.0,
"RIVER GANGA AT MOKAMA (D/S), NEAR RAJENDRA BRIDGE , SIMIRIYA GHAT",,,,,,,7.800000000000001
"RIVER GANGA AT MOKAMA (U/S), MAHADEO ASTHAN, PATNA",,,,,,7.9,7.814999999999999
RIVER GANGA AT MUNGER,,,,,,7.949999999999999,
"RIVER GANGA AT MUNGER D/S, CREAMINATION GHAT",,,,,,,7.720000000000001
RIVER GANGA AT NARORA (BULANDSAHAR),,,,,,7.3,
"RIVER GANGA AT NARORA (BULANDSAHAR), U.P.",,,,,,,7.245
RIVER GANGA AT PALTA WEST BENGAL,,,,,,7.9,8.095
"RIVER GANGA AT PALTA, SHITALTALA,",,,,8.0,,7.85,7.99
RIVER GANGA AT PATIKALI NEAR DURGA CHAK WEST BENGAL,,,,,,7.0,7.939999999999999
"RIVER GANGA AT PATNA D/S (GANGA BRIDGE), GAIGHAT",,,,,,7.800000000000001,
"RIVER GANGA AT PATNA D/S (GANGA BRIDGE), GAIGHAT, PATNA",,,,,,,7.779999999999999
"RIVER GANGA AT PRAYAGRAJ (RASOOLABAD), U.P.",,,,,,,7.869999999999999
"RIVER GANGA AT PRAYAGRAJ D/S (SANGAM), U.P.",,,,,,,7.91
"RIVER GANGA AT RAJMAHAL, BIHAR",,,,,,,7.55
"RIVER GANGA AT RAJMAHAL, JHARKHAND",,,,,,7.5,
"RIVER GANGA AT RISHIKESH U/S,",,,,,,7.7,
"RIVER GANGA AT ROAD BRIDGE TARIGHAT,DIST GHAZIPUR (U.P.)",,,,,,,7.565
RIVER GANGA AT SANGI DALAN,,,,8.15,7.7,7.6,7.5
"RIVER GANGA AT SERAMPORE, HOOGHLY,WEST BENGAL",,,,,,7.85,7.805
"RIVER GANGA AT SULTANGANJ, BHAGALPUR",,,,,,7.9,
RIVER GANGA AT SULTANPUR (UTTARAKHAND),,,,,,6.75,7.76
"RIVER GANGA AT TARIGHAT (GHAZIPUR), U.P",,,,,,,8.07
RIVER GANGA AT TARIGHAT GHAZIPUR (U.P.),,,,,,7.55,
"RIVER GANGA AT THE BALUGHAT, DORIGANJ, SARAN",,,,,,,7.765
"RIVER GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",,,,,,7.699999999999999,
"RIVER GANGA AT TRIGHAT (GHAZIPUR), U.P",,,,,,7.95,
RIVER GANGA AT TRIVENI GHAT,,8.05,,,,,
"RIVER GANGA AT TRIVENI GHAT, PATNA",,,,8.05,7.85,7.800000000000001,7.785
"RIVER GANGA AT U/S AJGABINATH MANDIR SULTANGANJ, BHAGALPUR",,,,,,,7.75
RIVER GANGA AT U/S BARAHPUR BINDTOLI,,7.699999999999999,7.65,,7.9,7.7,
RIVER GANGA AT U/S BHAGALPUR NEAR BARARIGHAT,,,,,,7.8,
"RIVER GANGA AT U/S BRIJ GHAT ,GHARMUKTESHWAR",,,,,,,7.3
RIVER GANGA AT U/S JAIL GHAT,,,7.75,,,,
"RIVER GANGA AT U/S JAIL GHAT, BUXAR",,,,7.85,8.05,8.0,7.944999999999999
RIVER GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),,,,,,7.85,
RIVER GANGA AT U/S MUNGER KASHATHARNI GHAT,,,,,,,7.75
"RIVER GANGA AT U/S SULTANGANJ, BHAGALPUR",,,,,,7.85,
"RIVER GANGA AT ULUBERIA , HOWRAH,WEST BENGAL",,,,,,7.4,7.43
"RIVER GANGA AT UMA NATH MANDIR,BARH",,,,,,,7.845000000000001
"RIVER GANGA AT UPPER GANGA CANAL D/S ROORKEE, HARIDWAR",,,,,,7.35,
"RIVER GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",,,,,,7.85,
"RIVER GANGA AT VARANASI D/S , A/C RIVER VARUNA , U.P",,,,,,,8.09
"RIVER GANGA AT VARANASI U/S (ASSIGHAT), U.P",,,,,,8.0,
"RIVER GANGA AT VARANASI U/S NEAR VISHWASUNDARI BRIDGE B/C DRAINS( NAGWA NALA, SAMNE GHAT NALA,NAKHHI NALA)",,,,,,,8.125
"RIVER GANGA AT WATER INTAKE POINT, BHAGALPUR",,,,,,7.949999999999999,7.8
"RIVER GANGA D/S AT BAIRAAJ,RISHIKESH",,,,,,,7.72
"RIVER GANGA D/S AT BALKUMARI MANDIR, AJEETPUR, HARIDWAR",,,,,,,7.9
"RIVER GANGA D/S CREMINATION GHAT AT SULTANGANJ, BHAGALPUR",,,,,,,7.72
RIVER GANGA D/S NEAR CREMATION GHAT,,7.7,,7.95,7.95,5.95,
"RIVER GANGA D/S NEAR CREMATION GHAT, KHALGOAN",,,,,,,7.699999999999999
RIVER GANGA D/S NEAR JANTA GHAT,,,,8.0,7.75,7.65,7.5
"RIVER GANGA D/S OF M/S NTPC, BARH WATER INTAKE POINT,PATHANICHAK, BINDTOLA BARH",,,,,,,7.665
RIVER GANGA D/S RISHIKESH,,7.550000000000001,7.65,,7.65,7.649999999999999,
"RIVER GANGA D/S, ANOOPSHAHAR",,,,,,7.2,7.25
"RIVER GANGA D/S, MIRZAPUR",,,,,,7.6,7.66
"RIVER GANGA NEAR DANAPUR (NEAR PIPA PUL) ,PATNA",,,,,,7.7,7.734999999999999
"RIVER GANGA TA GULABI GHAT, PATNA",,,,7.9,,,
"RIVER GANGA TA MAA AMBIKA ASTHAN, AAMI, SARAN",,,,7.6,,,
"RIVER GANGA U/S AT ABINDUGHAT, DUDHIYABAD, HARIDWAR",,,,,,,7.734999999999999
"RIVER GANGA U/S AT LAXMANJHULA,RISHIKESH",,,,,,,7.615
"RIVER GANGA U/S HARIDWAR AT ABINDUGHAT, DUDHIYABAD, HARIDWAR",,7.65,,,7.75,7.9,
RIVER GANGA U/S NEAR LCT GHAT,,,,8.1,7.8,7.6,7.5
"RIVER GANGA U/S OF M/S NTPC, BARH WATER INTAKE POINT, BARH",,,,,,,7.885
"RIVER GANGA U/S, ANOOPSHAHAR",,,,,,7.1,7.220000000000001
"RIVER GANGA U/S, VINDHYACHAL, MIRZAPUR",,,,,,7.0,8.21
RIVER GNAGA TA CHUNAR,,,,5.35,,,
"RIVER KAMALA (BIHAR) GANGA AT JEEWACH GHAT, DARBHANGA",,,,,,7.199999999999999,
"RIVER RUPNARAYAN BEFORE CONFL. TO GANGA NEAR GEONKHALI,MEDINIPORE WEST BENGAL",,,,,,,7.814999999999999
"RIVER RUPNARAYAN BEFORE CONFL. TO GANGA NEAR GEONKHALI,MEDINIPORE, WEST BENGAL",,,,,,7.699999999999999,
"RIVER TRIBENI ON GANGA, NEAR BURNING GHAT, HOOGHLY",,,,,,8.0,8.055
RUPNARAYAN B/C TO RIVER GANGA NEAR GEONKHALI,8.15,,,,,,
"RUPNARAYAN BEFORE CONFL. TO RIVER GANGA NEAR GEONKHALI, WEST BENGAL",,,7.5,,,,
"RUPNARAYAN BEFORE CONFL. TO RIVER GANGA NEAR GEONKHALI,MEDINIPORE",,,,7.6,,,
SANGI DALAN,,,8.15,,,,
SWARG ASHRAM-1,,,,8.0,,,
SWARG-ASHRAM -1,,,7.449999999999999,,,,
"TRIBENI ON GANGA, NEAR BURNING GHAT",,7.85,7.949999999999999,,,,
TRIVENI GHAT,,,7.25,,,,
U/S NEAR LCT GHAT,,,8.25,,,,
ULUBERIA,,,7.15,,,,
VARUNA B/C WITH GANGA AT VARANASI,8.0,,,,,,
